Brand,ProductName,Category,MRP,SalePrice,DiscountPercentage,Rating,NumberOfReviews,URL
Fur Jaden,Crocodile Textured Duffel Bag,Handbags and Bags,4000.0,899.0,77.53,4.5,959,https://www.myntra.com/duffel-bag/fur+jaden/fur-jaden-black-crocodile-textured-duffel-bag/19230164/buy
Fur Jaden,Medium Casual Duffel Bag,Handbags and Bags,3000.0,1999.0,33.37,4.2,22,https://www.myntra.com/duffel-bag/fur+jaden/fur-jaden-medium-casual-duffel-bag/29557452/buy
Sangria,Printed Handbags,Handbags and Bags,2199.0,681.0,69.03,4.1,67,https://www.myntra.com/handbags/sangria/sangria-floral-printed-handbags/27210090/buy
Bagsy Malone,Set Of 5 Handbags & Wallets,Handbags and Bags,3999.0,719.0,82.02,4.0,22,https://www.myntra.com/handbags/bagsy+malone/bagsy-malone-set-of-5-textured-structured-handbags--wallets/27018490/buy
Fur Jaden,Solid Vegan Leather Duffel Bag,Handbags and Bags,2000.0,1299.0,35.05,4.5,176,https://www.myntra.com/duffel-bag/fur+jaden/fur-jaden-brown--white-solid-vegan-leather-duffel-bag/19230162/buy
Metro,Bucket Sling Bag with Quilted,Handbags and Bags,1490.0,700.0,53.02,4.6,88,https://www.myntra.com/handbags/metro/metro-bucket-sling-bag-with-quilted-handbags/20661240/buy
Eveda,Women Printed Handbags,Handbags and Bags,2899.0,675.0,76.72,0.0,0,https://www.myntra.com/handbags/eveda/eveda-women-printed-handbags/33603413/buy
Gauge Machine,Unisex Textured Laptop Bag,Handbags and Bags,3999.0,2199.0,45.01,4.6,27,https://www.myntra.com/laptop-bag/gauge+machine/gauge-machine-16-olive-laptop-messenger-bag/24862230/buy
Bagsy Malone,Set Of 4 Leather Handbags,Handbags and Bags,3599.0,899.0,75.02,4.1,36,https://www.myntra.com/handbags/bagsy+malone/bagsy-malone-set-of--4-textured-vegan-leather-handbags/27018478/buy
Bagsy Malone,Set Of 5 Handbags & Wallets,Handbags and Bags,3999.0,919.0,77.02,3.9,18,https://www.myntra.com/handbags/bagsy+malone/bagsy-malone-set-of-5-textured-structured-handbags--wallets/27018516/buy
The Souled Store,Graphic Backpack,Handbags and Bags,4999.0,3399.0,32.01,4.5,13,https://www.myntra.com/backpacks/the+souled+store/the-souled-store-men-captain-america-super-soldier-backpack/33988450/buy
Eveda,Women Textured Handbags,Handbags and Bags,2199.0,999.0,54.57,0.0,0,https://www.myntra.com/handbags/eveda/eveda-women-geometric-textured-handbags/33603368/buy
Bagsy Malone,Set Of 4 Handbags & Wallets,Handbags and Bags,3599.0,899.0,75.02,4.2,21,https://www.myntra.com/handbags/bagsy+malone/bagsy-malone-set-of-4-textured-structured-handbags--wallets/27018482/buy
The Souled Store,Graphic Padded Staps Backpack,Handbags and Bags,3999.0,3599.0,10.0,3.9,24,https://www.myntra.com/backpacks/the+souled+store/the-souled-store-men-batman-gotham-gear-backpack/34160475/buy
Bagsy Malone,Set Of 4 Leather Handbags,Handbags and Bags,3599.0,863.0,76.02,3.9,36,https://www.myntra.com/handbags/bagsy+malone/bagsy-malone-set-of--4-textured-vegan-leather-handbags/27018502/buy
Flingo,Striped Handheld Handbags,Handbags and Bags,1299.0,649.0,50.04,0.0,0,https://www.myntra.com/handbags/flingo/flingo-women-striped-oversized-structured-handheld-handbags/34177526/buy
Safari,Set of 3 Hard Trolley Bag,Handbags and Bags,27565.0,6999.0,74.61,4.3,82,https://www.myntra.com/trolley-bag/safari/safari-luma-set-of-3-printed-hard-trolley-bag/18552118/buy
Fostelo,Textured Handheld Bag Handbags,Handbags and Bags,2799.0,699.0,75.03,4.2,6,https://www.myntra.com/handbags/fostelo/fostelo-textured-handheld-bag-handbags/21373820/buy
Bagsy Malone,Set Of 5 Handbags & Wallets,Handbags and Bags,3999.0,919.0,77.02,3.9,7,https://www.myntra.com/handbags/bagsy+malone/bagsy-malone-set-of-5-textured-structured-handbags--wallets/27018464/buy
Under Armour,Printed Duffel Bag,Handbags and Bags,4299.0,4299.0,0.0,0.0,0,https://www.myntra.com/duffel-bag/under+armour/under-armour-ua-undeniable-50-unisex-brand-logo-printed-duffel-bag/32120668/buy
Bagsy Malone,Set Of 5 Handbags & Wallets,Handbags and Bags,3999.0,919.0,77.02,4.3,6,https://www.myntra.com/handbags/bagsy+malone/bagsy-malone-set-of-5-textured-structured-handbags--wallets/27018512/buy
Anouk,Laptop handbags,Handbags and Bags,3099.0,1146.0,63.02,0.0,0,https://www.myntra.com/handbags/anouk/anouk-brown-ladies-multicolor-laptop-handbags/35400627/buy
Move-Meant,Set Of 3 Textured Trolley Bag,Handbags and Bags,20997.0,5039.0,76.0,4.3,7,https://www.myntra.com/trolley-bag/move-meant/move-meant-set-of-3-textured-hard-sided-trolley-bag/33284692/buy
Baomi,Printed Oversized Sling Bag,Handbags and Bags,3300.0,1485.0,55.0,0.0,0,https://www.myntra.com/handbags/baomi/baomi-floral-printed-oversized-sling-bag-handbags/20784830/buy
Baomi,Printed Oversized Sling Bag,Handbags and Bags,4300.0,1935.0,55.0,0.0,0,https://www.myntra.com/handbags/baomi/baomi-printed-oversized-sling-bag-handbags/20774770/buy
Safari,Astra Neo Large Trolley Bag,Handbags and Bags,12999.0,3199.0,75.39,4.0,9,https://www.myntra.com/trolley-bag/safari/safari-astra-neo-textured-hard-sided-8-wheels-large-check-in-trolley-bag/34432408/buy
Baomi,Printed Oversized Sling Bag,Handbags and Bags,4100.0,1640.0,60.0,0.0,0,https://www.myntra.com/handbags/baomi/baomi-floral-printed-oversized-sling-bag-handbags/20774748/buy
Lavie Signature,Swagger Satchel Handbags,Handbags and Bags,5999.0,3599.0,40.01,0.0,0,https://www.myntra.com/handbags/lavie+signature/lavie-signature-women-colourblocked-swagger-satchel-handbags/34387404/buy
The Souled Store,Graphic Backpack,Handbags and Bags,4499.0,3104.0,31.01,0.0,0,https://www.myntra.com/backpacks/the+souled+store/the-souled-store-men-graphic-backpack/35940841/buy
Lavie,Textured Zip Detail Handbags,Handbags and Bags,4999.0,2499.0,50.01,4.4,5,https://www.myntra.com/handbags/lavie/lavie-textured-zip-detail-handbags/26407698/buy
Baomi,Oversized Handheld Bag,Handbags and Bags,5300.0,2385.0,55.0,4.3,7,https://www.myntra.com/handbags/baomi/baomi-printed-oversized-handheld-bag-handbags/20774866/buy
Fur Jaden,Unisex Textured Duffel Bag,Handbags and Bags,4000.0,899.0,77.53,4.5,819,https://www.myntra.com/duffel-bag/fur+jaden/fur-jaden-unisex-brown-textured-duffel-bag/19230154/buy
Guess,Structured Quilted Satchel,Handbags and Bags,15000.0,9000.0,40.0,0.0,0,https://www.myntra.com/handbags/guess/guess-women-embellished-pu-structured-quilted-satchel-handbags/31083429/buy
Sassora,Leather Shoulder Bag,Handbags and Bags,10299.0,4943.0,52.01,0.0,0,https://www.myntra.com/handbags/sassora/sassora-leather-shoulder-bag-handbags/20995230/buy
Tommy Hilfiger,Unisex Solid Backpack,Handbags and Bags,3199.0,1887.0,41.01,4.6,10000,https://www.myntra.com/backpacks/tommy+hilfiger/tommy-hilfiger-joshua-unisex-15-inch-laptop-backpack-21l/9137557/buy
Flying Berry,Set of 3 Handbags,Handbags and Bags,6499.0,3574.0,45.01,3.5,8,https://www.myntra.com/handbags/flying+berry/flying-berry-set-of-3-white-solid-handbags-combo/14125410/buy
Flying Berry,Set of 3 Handbags,Handbags and Bags,6499.0,3574.0,45.01,4.1,15,https://www.myntra.com/handbags/flying+berry/flying-berry-set-of-3-brown-solid-handbags-combo/14125412/buy
Assembly,Unisex Check In Trolley Bag,Handbags and Bags,9999.0,7999.0,20.0,3.9,8,https://www.myntra.com/trolley-bag/assembly/assembly-rover-white-premium-check-in-trolley-bag---28-inches/27402540/buy
Flying Berry,Set of 3 Handbags,Handbags and Bags,6499.0,3574.0,45.01,4.7,6,https://www.myntra.com/handbags/flying+berry/flying-berry-set-of-3-beige-structured-handbags/15769958/buy
Genwayne,Leather Handheld Bag Handbags,Handbags and Bags,10990.0,3297.0,70.0,0.0,0,https://www.myntra.com/handbags/genwayne/genwayne-leather-handheld-bag-handbags/20737344/buy
Safari,Astra Neo Large Trolley Bag,Handbags and Bags,12999.0,3199.0,75.39,4.9,14,https://www.myntra.com/trolley-bag/safari/safari-astra-neo-textured-hard-sided-8-wheels-large-check-in-trolley-bag/34432410/buy
Osaiz,PU Handbags,Handbags and Bags,1799.0,469.0,73.93,3.5,24,https://www.myntra.com/handbags/osaiz/osaiz-textured-zip-detail-pu-handbags/26182804/buy
Kuber Industries,2-Pcs Embellished Handbags,Handbags and Bags,499.0,254.0,49.1,0.0,0,https://www.myntra.com/handbags/kuber+industries/kuber-industries-pack-of-2-embellished-handbags/27974318/buy
Safari,Overnighter Hard-Sided Trolley,Handbags and Bags,8560.0,8560.0,0.0,4.2,40,https://www.myntra.com/trolley-bag/safari/safari-aviator-pearl-blue-overnighter-trolley-with-laptop-compartment-and-tsa-lock-50cm/32285500/buy
Parfois,PU Handbags,Handbags and Bags,5999.0,3599.0,40.01,0.0,0,https://www.myntra.com/handbags/parfois/parfois-pu-handbags/33752806/buy
Wenz,Geometric Handheld Bag,Handbags and Bags,4999.0,2699.0,46.01,0.0,0,https://www.myntra.com/handbags/wenz/wenz-geometric-embellished-handheld-bag-handbags/34141813/buy
Safari,Aviator Trolley Bag,Handbags and Bags,8560.0,2999.0,64.96,4.3,40,https://www.myntra.com/trolley-bag/safari/safari-aviator-gun-metal-overnighter-trolley-with-laptop-compartment-and-tsa-lock-50cm/32285499/buy
Behno New York,WomenShoulderBagwithTasselled,Handbags and Bags,10950.0,10950.0,0.0,0.0,0,https://www.myntra.com/handbags/behno+new+york/behno-new-york--ina-mini-pouchette-pebble-handbags/29859123/buy
Behno New York,Leather Structured Sling Bag,Handbags and Bags,18000.0,18000.0,0.0,0.0,0,https://www.myntra.com/handbags/behno+new+york/behno-new-york-simone-mini-accordion-milled-handbags/29859061/buy
The Souled Store,Men Colourblocked Backpack,Handbags and Bags,5499.0,3134.0,43.01,4.1,33,https://www.myntra.com/backpacks/the+souled+store/the-souled-store-men-deadpool-iconic-backpack/31628949/buy
Baomi,Printed Shoulder Bag Handbags,Handbags and Bags,6400.0,2560.0,60.0,0.0,0,https://www.myntra.com/handbags/baomi/baomi-printed-shoulder-bag-handbags/20774836/buy
Baomi,Floral Oversized Handheld Bag,Handbags and Bags,6400.0,2560.0,60.0,0.0,0,https://www.myntra.com/handbags/baomi/baomi-floral-printed-oversized-handheld-bag-handbags/20774750/buy
Safari,Heritage Large Trolley Bag,Handbags and Bags,12700.0,9499.0,25.2,0.0,0,https://www.myntra.com/trolley-bag/safari/safari-select-heritage-textured-with-tsa-lock-polycarbonate-large-trolley-bag-77-cm/33024531/buy
Lino Perros,Unisex Structured Sling Bag,Handbags and Bags,3995.0,1797.0,55.02,3.8,12,https://www.myntra.com/handbags/lino+perros/lino-perros-unisex-solid-structured-sling-bag-with-pouch/32634982/buy
Exotic,PU Structured Shoulder Bag,Handbags and Bags,2999.0,1289.0,57.02,4.5,1100,https://www.myntra.com/handbags/exotic/exotic-pu-structured-shoulder-bag/22423756/buy
Fastrack,Women Solid Sling Bag,Handbags and Bags,1699.0,934.0,45.03,4.2,62,https://www.myntra.com/handbags/fastrack/fastrack-women-structured-sling-bag-with-dual-zipper-quick-access-pockets/24525632/buy
Provogue,Unisex Hard Sided Trolley Bag,Handbags and Bags,9000.0,3780.0,58.0,0.0,0,https://www.myntra.com/trolley-bag/provogue/provogue-unisex-coral-hard-sided-large-trolley-bag/34808761/buy
Tommy Hilfiger,Solid Large Trolley Bag,Handbags and Bags,11999.0,6599.0,45.0,4.2,93,https://www.myntra.com/trolley-bag/tommy+hilfiger/tommy-hilfiger-solid-360-degree-rotation-hard-large-trolley-bag--1185l/20382842/buy
Lino Perros,Women Structured Sling Bag,Handbags and Bags,3995.0,1757.0,56.02,4.5,775,https://www.myntra.com/handbags/lino+perros/lino-perros-women-textured-structured-sling-bag/22000810/buy
Puma,Washed Lightweight Tote Bag,Handbags and Bags,1599.0,959.0,40.03,4.6,32,https://www.myntra.com/handbags/puma/puma-washed-spacious-lightweight-tote-bag/35360810/buy
Provogue,Loop Large Check-In Trolley,Handbags and Bags,9875.0,4148.0,57.99,0.0,0,https://www.myntra.com/trolley-bag/provogue/provogue-loop-hard-sided-large-check-in-trolley-bag---75-cm/34808551/buy
The Souled Store,Men Wolverine:WeaponX Backpack,Handbags and Bags,3799.0,3115.0,18.0,4.2,5,https://www.myntra.com/backpacks/the+souled+store/the-souled-store-men-wolverineweaponx-backpack/31086636/buy
Mast & Harbour,Structured Tote Bag with Tasselled,Handbags and Bags,3499.0,1469.0,58.02,4.4,67,https://www.myntra.com/handbags/mast+%26+harbour/mast--harbour-women-structured-office-tote-bag/32877616/buy
Wildcraft,Men Printed Rucksack,Handbags and Bags,5699.0,2735.0,52.01,4.4,1500,https://www.myntra.com/rucksacks/wildcraft/wildcraft-men-grey--blue-printed-rucksack/4323773/buy
Lavie,Solid Medium Dome Satchel,Handbags and Bags,4799.0,1399.0,70.85,4.3,4900,https://www.myntra.com/handbags/lavie/lavie-women-ushawu-medium-dome-satchel-handbag/10186487/buy
Safari,Brand Logo Backpack with Anti-Theft,Handbags and Bags,3799.0,1199.0,68.44,4.6,35,https://www.myntra.com/backpacks/safari/safari-unisex-brand-logo-backpack-with-anti-theft/33439967/buy
